Video Title,Video ID,Video Link,Published Date,Username,Comment
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@nuryati5449,Trims STY❤❤
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@alsa9307,"Hari ini dan kemarin Ingat moment coach STY di round3 ,  semoga saja suatu saat semua orang indonesia tidak menyesal dengan keputusan ini.  🙏🙏👍 Terimakasih coach STY atas kenanganmu di persepakbolaan indonesia"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@abi6994,"Aduh kenapa kenapa?,ini masih di trek yg bener kok,bentar lagi lawan Australia kok d gembosin ban nya"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@IwanFals-j2g,"Ketua PSSI Erick Thohir dipecat juga dong biar adil,bisa apa dia, ngurus BUMN aja ga becus"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@Ripay-u6g,Males sama pak erik tohir.
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ahmadisoppo862,Korban lokal preet kan coach bahasa hanya alibi tuk mendepak anda <br>1 prestasi sty merekomendasi pemain diaspora naturalisasi grade A<br>2 semangat pemain jadi petarung<br>3 stamina pemain lebih kuat.<br>Kelemahan coach sty <br>1 pemangilan pemain<br>2 sering blunder memasang pemain exsperimen <br> Kalau taktik tdk jadi masalah<br>Selagi 9 pemain naturalisasi main. Taktik apapun kalau 9 pemain  lokal preet 2 naturalisasi dlm tiap pertandingan yakin tdk akan jln taktiknya terbuktikan coach kehebatan lokal preet jgnkan pinising pasing aja diajari philipina😊
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@wahonosodo6668,"Erik thohir ternyata bisa juga diatur oleh dalang dalang penghianat PSSI, beberapa waktu lalu resmi memutuskan keluar dari AFF, setelah ada penawaran jadi ketua AFF akhirnya memutuskan tdk jadi keluar dari AFF,, ketua plin plan gila jabatan<br>apa karena ingin menjadi ketua AFF akhirnya memecat STY"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@wahyuifrayandhi46,Yg mesti dibenahi itu kualitas pemain lokal kita<br>Mau dilatih sekelas pep guardiola sekalipun<br>Sepak bola kita tetap gini gini aja
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ysgginting5118,Perasaan gw ga enak nih kek tanda tanda kemunduran bola di Indonesia lagi
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ikabhinnekawati2761,Saya tidak setuju shin tayong di copot. Ingat berhenti di tengah jalan bikan hal yg baik
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@magnummild4105,Sayang sekali Satu orang ET tidak mampu melawan MAFIA2 PSSI.. TERUS KAWAL SEPAKBOLA INDONESIA.. SELAMAT BUAT TOWEL DAN SI AKMAL.. KALIAN MENANG.. SPEECHLESS..
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@Irsyad123-v9t,We love coach sty ❤❤❤
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@mantan_konglomerat6801,"Bagus setuju sty di copot. Taktik permainan nya sangat buruk. Ngabisin uang aja bolak balik keluar negeri cari naturalisasi. Giliran pakai pemain lokal lebih buruk dr indra sjafri.<br>Pemain lokal yg di pakai sty itu  hasil keringat indra sjafri, sty itu cuma terima beres doang dia."
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@sutarnowijaya7047,Tohir tolong  di awasi juga itu rakyat Indonesia  banyak  tetapi lebih mengutamakan  naturalisasi yg hasilnya nonzen
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@awandilangitbiru1063,Bulan Maret Ogah ke GBK... !!
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ucupwahyono2360,Hubungan bilateral antara Korea dan indonesia bisa terganggu nich gara2 sty di pecat
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ddsunardi13,Semoga gak blunder dan penggantinya benar2 berpengalaman dan lebih baik dr STY
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@busarsenal1605,Kalo teamnas Indonesia masih makan beras sampe kiamatpun sepakbola Indonesia tidak akan pernah maju.
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@Andrehutauruk-m8z,Bukan karena itu. Lihat raut muka pak Erik Tohir. Itu adanya desakan jgn sampai sepakbola Indonesia membaik lagi karena. Adanya mungkin sebuah perjanjian antar negara yg lebih urgent lagi. Melihat kurangnya pemasukan negara mungkin pajak 12% masih kurang jd kita butuh dukungan luar negeri. Just opinion.
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@rizkipratamaramadhana8479,Di tunggu awan kelabu menyelimuti persepakbola an indonesia lagi
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@SamaritanDawah,"Sangat disayangkan, belum kelar kualifikasi PILDUN sudah ganti coach semoga ini bukan BLUNDER !! <br>satu kata untuk coach STY terima kasih sudah banyak memberikan prestasi ….."
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@SriDeva-c7g,STY SELALU DIHATI!!!!ET takut sama mafi bola NB
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@Informanchannel86,"Ganti pelatih wajib menang, STY sudah capek membangun timnas malah di ganti, dan belum tentu menang juga jika STY di ganti mending stay dulu STY, terlalu dini PSSI mengganti STY jasa STY terlalu besar bagi sepak bola Indonesia"
